"0","[10671, 14769, 3723, 14769, 8949]","[1333470935, 1333471062, 1333471344, 1333511663, 1333533571]","[45, 140, 39, 140, 51]"
"0","[14769]","[1333594357]","[140]"
"0","[14769, 13742, 12153, 8949]","[1333801500, 1333803538, 1333804170, 1333804242]","[140, 181, 100, 51]"
"0","[11258, 14769, 8949, 2774, 4977, 9329]","[1333871127, 1333871234, 1333873846, 1333892835, 1333895000, 1333897104]","[152, 140, 51, 143, 204, 132]"
"0","[14769]","[1333947721]","[140]"
"0","[14769, 2842, 16542, 2261, 8949, 14769]","[1333991742, 1333991860, 1333993883, 1333994672, 1333999062, 1334022898]","[140, 132, 140, 32, 51, 140]"
"0","[14585, 7463, 12153, 18310, 8949, 14769]","[1334078815, 1334078855, 1334081991, 1334082021, 1334082075, 1334109998]","[238, 223, 100, 109, 51, 140]"
"0","[16542, 15965, 3828, 8949, 14769]","[1334163983, 1334168530, 1334171780, 1334171800, 1334195960]","[140, 97, 190, 51, 140]"
"0","[14769, 2774, 4878, 18310, 8949, 7236, 8949, 14769, 8222, 7236, 2842]","[1334251511, 1334251674, 1334251691, 1334251771, 1334256052, 1334258987, 1334259037, 1334331903, 1334331924, 1334331985, 1334332048]","[140, 143, 97, 109, 51, 14, 51, 140, 108, 14, 132]"
"0","[14769, 14769, 2842]","[1334339587, 1334414941, 1334416567]","[140, 140, 132]"
"0","[7094, 14769, 14769]","[1334420632, 1334461699, 1334499847]","[58, 140, 140]"
"0","[8949, 14769]","[1334625328, 1334627975]","[51, 140]"
"0","[3493]","[1334679999]","[32]"
"0","[14769, 2842, 8949]","[1334768215, 1334768295, 1334769995]","[140, 132, 51]"
"0","[14769]","[1334882477]","[140]"
"0","[14769, 14769]","[1334941110, 1334982575]","[140, 140]"
"0","[7094, 12261, 6644, 16970, 13067, 6629]","[1335033428, 1335088636, 1335104499, 1335104524, 1335106746, 1335107342]","[58, 32, 51, 39, 5, 11]"
"0","[13384, 14769]","[1335112184, 1335122469]","[178, 140]"
"0","[10671]","[1335202479]","[45]"
"0","[14769, 8949]","[1335375323, 1335396271]","[140, 51]"
"0","[14769, 1371, 8949, 10671, 16481, 1948, 1948, 7716, 1371, 4497, 12318, 7094]","[1335542818, 1335546214, 1335556304, 1335612392, 1335621401, 1335621503, 1335621515, 1335621589, 1335622752, 1335624301, 1335625953, 1335626251]","[140, 121, 51, 45, 137, 62, 62, 62, 121, 152, 16, 58]"
"0","[15808, 4237, 14769, 8949, 5939]","[1335632288, 1335632377, 1335668391, 1335671328, 1335671653]","[121, 178, 140, 51, 131]"
"0","[14769]","[1335887690]","[140]"
"0","[1371, 8949]","[1335894108, 1335894160]","[121, 51]"
"0","[14769, 1371, 8949, 14769, 14769, 19038]","[1336070762, 1336070796, 1336093802, 1336093870, 1336127071, 1336139613]","[140, 121, 51, 140, 140, 140]"
"0","[8229, 14769, 14769]","[1336149056, 1336189679, 1336217040]","[174, 140, 140]"
"0","[14769, 2842]","[1336299143, 1336315396]","[140, 132]"
"0","[8949, 14769]","[1336335285, 1336355770]","[51, 140]"
"0","[14769]","[1336490059]","[140]"
"0","[1371, 2261, 17983, 9845]","[1336493788, 1336501951, 1336502073, 1336502216]","[121, 32, 11, 77]"
"0","[14769, 2842, 2353, 15808]","[1336583558, 1336583612, 1336659441, 1336665580]","[140, 132, 40, 121]"
"0","[2842, 14769, 2636, 7094, 7094]","[1336669117, 1336669133, 1336669160, 1336673605, 1336729885]","[132, 140, 97, 58, 58]"
"0","[2842, 8949, 2842, 14769, 1371, 10574, 10574]","[1336754144, 1336790431, 1336790450, 1336790477, 1336821117, 1336822512, 1336825655]","[132, 51, 132, 140, 121, 41, 41]"
"0","[3723, 7094, 15838, 10270, 10270, 10745, 9845, 8393, 17108, 6666, 2842, 8949, 14769, 1371, 4497, 4497, 13965, 2774, 12318, 2842]","[1336847455, 1336847480, 1336847531, 1336847718, 1336847861, 1336847926, 1336848102, 1336848142, 1336848326, 1336855709, 1336878989, 1336879010, 1336879024, 1336908393, 1336915087, 1336915099, 1336915129, 1336915175, 1336915203, 1336923477]","[20, 58, 178, 178, 178, 140, 77, 132, 178, 178, 132, 51, 140, 121, 152, 152, 20, 143, 16, 132]"
"0","[18310, 3723, 8949]","[1336926030, 1336937009, 1336944321]","[109, 20, 51]"
"0","[14769, 2842, 16542, 8949, 2774, 7236, 14769, 2842, 17819]","[1337017113, 1337017152, 1337025203, 1337025231, 1337096940, 1337096963, 1337096987, 1337097020, 1337097062]","[140, 132, 20, 51, 143, 14, 140, 132, 141]"
"0","[1371]","[1337102915]","[121]"
"0","[14769, 2842, 1371, 8949, 14769]","[1337191500, 1337191543, 1337193122, 1337193799, 1337255008]","[140, 132, 121, 51, 140]"
"0","[7335, 14769, 6644, 2842]","[1337356227, 1337356317, 1337356349, 1337356386]","[39, 140, 51, 132]"
"0","[14769, 18515, 14186, 15808]","[1337399600, 1337416791, 1337417396, 1337424287]","[140, 62, 111, 121]"
"0","[14769, 2774, 8278, 792, 4977, 10912, 11129]","[1337566530, 1337586725, 1337593559, 1337593649, 1337599244, 1337605386, 1337605471]","[140, 143, 22, 22, 204, 181, 100]"
"0","[14769, 2774, 2842]","[1337621783, 1337621908, 1337621948]","[140, 143, 132]"
"0","[14769, 1371, 8949]","[1337793282, 1337796819, 1337798001]","[140, 121, 51]"
